Airport Origin,Airport Destination,Cost
JFK,LAX,158
JFK,ORD,113
JFK,MIA,129
JFK,SFO,144
JFK,IAD,203
JFK,ATL,142
JFK,SEA,227
JFK,MCO,129
JFK,BOS,84
JFK,LAS,189
JFK,DFW,164
LAX,JFK,158
LAX,ORD,220
LAX,MIA,124
LAX,SFO,139
LAX,IAD,124
LAX,ATL,240
LAX,SEA,188
LAX,MCO,148
LAX,BOS,302
LAX,LAS,75
LAX,DFW,170
ORD,JFK,84
ORD,MIA,175
ORD,SFO,141
ORD,IAD,104
ORD,ATL,161
ORD,SEA,157
ORD,MCO,165
ORD,BOS,199
ORD,LAS,193
ORD,DFW,183
ORD,LAX,220
MIA,JFK,99
MIA,ORD,176
MIA,SFO,157
MIA,IAD,163
MIA,ATL,110
MIA,SEA,439
MIA,MCO,289
MIA,BOS,194
MIA,LAS,159
MIA,DFW,176
MIA,LAX,124
SFO,JFK,154
SFO,ORD,167
SFO,MIA,232
SFO,IAD,209
SFO,ATL,299
SFO,SEA,74
SFO,MCO,319
SFO,BOS,332
SFO,LAS,117
SFO,DFW,169
SFO,LAX,104
IAD,JFK,149
IAD,ORD,147
IAD,MIA,191
IAD,SFO,296
IAD,ATL,104
IAD,SEA,376
IAD,MCO,119
IAD,BOS,114
IAD,LAS,384
IAD,DFW,154
IAD,LAX,219
ATL,JFK,142
ATL,ORD,161
ATL,MIA,75
ATL,SFO,299
ATL,IAD,104
ATL,SEA,189
ATL,MCO,214
ATL,BOS,254
ATL,LAS,294
ATL,DFW,161
ATL,LAX,234
SEA,JFK,154
SEA,ORD,99
SEA,MIA,339
SEA,SFO,74
SEA,IAD,169
SEA,ATL,189
SEA,MCO,189
SEA,BOS,179
SEA,LAS,99
SEA,DFW,159
SEA,LAX,114
MCO,JFK,194
MCO,ORD,165
MCO,MIA,119
MCO,SFO,296
MCO,IAD,172
MCO,ATL,169
MCO,SEA,429
MCO,BOS,169
MCO,LAS,464
MCO,DFW,339
MCO,LAX,299
BOS,JFK,224
BOS,ORD,359
BOS,MIA,484
BOS,SFO,439
BOS,IAD,219
BOS,ATL,304
BOS,SEA,399
BOS,MCO,404
BOS,LAS,503
BOS,DFW,364
BOS,LAX,504
LAS,JFK,249
LAS,ORD,193
LAS,MIA,194
LAS,SFO,70
LAS,IAD,162
LAS,ATL,294
LAS,SEA,99
LAS,MCO,464
LAS,BOS,514
LAS,DFW,176
LAS,LAX,59
DFW,JFK,164
DFW,ORD,183
DFW,MIA,176
DFW,SFO,209
DFW,IAD,154
DFW,ATL,161
DFW,SEA,179
DFW,MCO,339
DFW,BOS,279
DFW,LAS,176
DFW,LAX,170